Relative Position,Position X,Position Y,ca-access-point,node14ap,node19ap,node20ap
Relative Position,Position X,Position Y,2437,2437,2412,2437
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,f4:ec:38:ed:14:25,f4:ec:38:ed:10:fc
1,-7.0,15,-34.42857142857143,-41.42857142857143,-65.2,-60.714285714285715
2,-6.0,15,-39.333333333333336,-39.666666666666664,-67.66666666666667,-62.0
3,-5.0,15,-38.0,-44.2,-66.3,-59.3
4,-4.0,15,-45.333333333333336,-36.266666666666666,-64.66666666666667,-59.0
5,-3.0,15,-43.705882352941174,-36.294117647058826,-62.8235294117647,-57.529411764705884
6,-2.0,15,-47.785714285714285,-33.5,-62.142857142857146,-55.5
7,-1.0,15,-40.285714285714285,-34.714285714285715,-59.07142857142857,-53.714285714285715
8,0.0,15,-42.333333333333336,-45.5,-57.666666666666664,-53.416666666666664
9,1.0,15,-45.285714285714285,-41.214285714285715,-56.285714285714285,-51.5
10,2.0,15,-44.46153846153846,-34.69230769230769,-58.30769230769231,-49.23076923076923
11,3.0,15,-50.93333333333333,-46.46666666666667,-59.13333333333333,-49.93333333333333
12,4.0,15,-50.0,-45.30769230769231,-63.07692307692308,-52.76923076923077
13,1.2,14,-50.7,-35.8,-56.2,-44.4
14,1.2,13,-49.09090909090909,-33.63636363636363,-55.27272727272727,-45.18181818181818
15,1.2,12,-45.27272727272727,-38.18181818181818,-52.81818181818182,-42.81818181818182
16,1.5,11,-45.583333333333336,-39.25,-53.5,-38.333333333333336
17,2.0,10,-61.0,-40.833333333333336,-52.583333333333336,-39.416666666666664
18,2.0,9,-51.53846153846154,-39.07692307692308,-48.23076923076923,-41.15384615384615
19,2.0,8,-52.07142857142857,-42.92857142857143,-48.92857142857143,-41.214285714285715
