Relative Position,Position X,Position Y,ca-access-point,node14ap,ntua,\x00,ntuax,ntua,CNLab,CNLab,TestCN,ntuax,conference_room,TP-LINK_9FBBEF,TestCN,CNLab,ntuax,ntua,eduroam,Grafeio B.3.19,mlab1,TestCN,\x00,node19ap,ntua,NETMODE_2.4GHz,node20ap,ntua,TestCN,ntuax,ntua,CNLab,ntuax,MAC_Room,\x00,Emmanouella's Home,,CBS,awmn-240,GEOTUN,CNLab,,ntuax,ntua,\x00,ntuax,ntua
Relative Position,Position X,Position Y,2437,2437,2437,2462,2437,2412,2437,2412,2437,2412,2452,2462,2412,2412,2412,2412,2412,2472,2452,2412,2412,2412,2412,2432,2437,2437,2462,2462,2462,2462,2412,2452,2412,2412,2432,2452,2452,2437,2437,2462,2462,2462,2437,2437,2412
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,00:23:eb:08:cf:c3,00:15:c7:ff:16:a5,00:23:eb:08:cf:c2,00:1e:7a:18:6c:40,00:23:eb:08:cf:c0,00:1e:7a:18:68:00,00:23:eb:08:cf:c1,00:1e:7a:18:68:03,0c:80:63:f5:1b:9c,c4:6e:1f:9f:bb:ef,78:ba:f9:94:79:b1,78:ba:f9:94:79:b0,78:ba:f9:94:79:b2,78:ba:f9:94:79:b3,00:1e:7a:18:6c:41,64:70:02:3c:a4:30,a0:04:60:73:60:d3,00:1e:7a:18:68:01,00:1e:7a:18:68:06,f4:ec:38:ed:14:25,00:1e:7a:18:68:02,e8:de:27:db:10:60,f4:ec:38:ed:10:fc,00:15:c7:ff:16:92,00:15:c7:ff:16:a1,00:15:c7:ff:16:a3,00:15:c7:ff:16:a2,00:15:c7:ff:16:a0,00:1e:7a:18:65:b1,b0:48:7a:bb:cc:6e,00:1e:7a:18:68:05,78:8a:20:21:49:dc,30:b5:c2:23:38:87,68:72:51:3e:d5:a6,00:0b:6b:34:96:a8,64:66:b3:58:27:8c,00:15:c7:ff:16:90,ec:08:6b:ab:73:70,00:26:99:34:3a:d1,00:26:99:34:3a:d0,00:15:c7:ff:16:96,00:15:c7:ff:16:93,00:1e:7a:18:65:b0
1,-7,15,-39,-41,-70,-70,-70,-71,-72,-73,-73,-73,-78,-79,-82,-82,-83,-83,-56,-84,-85,-87,-87,-58,-88,-61,-61,-91,-65,-65,-65,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,-7,15,-40,-40,-72,-64,-71,-71,-72,100,-75,100,100,100,100,100,100,100,100,-87,100,-87,-87,100,-88,-60,-61,100,-65,-65,-64,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,-7,15,-33,-38,-72,-64,-71,-72,-72,100,-75,100,100,100,100,100,100,100,100,-87,100,-87,-87,100,-88,-63,-60,100,-65,-65,-64,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,-7,15,-35,-44,-69,-67,-68,-73,-70,100,-75,100,100,100,100,100,100,100,-75,-87,100,-87,-87,-65,-88,-61,-60,100,-66,-68,-69,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,-7,15,-35,-37,-70,-67,-74,-69,-69,100,-69,100,-88,100,100,100,100,-88,-69,-87,100,-85,-83,-67,-83,-66,-63,100,-72,-66,-69,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,-7,15,-30,-47,-71,-74,-72,-69,-76,100,-75,100,-80,100,100,100,100,-88,-69,-87,-86,-85,-83,-67,-83,-62,-60,100,-75,-73,-67,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,-7,15,-29,-43,-69,-74,-68,-74,-73,100,-74,100,-80,100,100,100,100,-88,-74,-87,-86,-85,-83,-69,-83,-63,-60,100,-67,-67,-68,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,-6,15,-73,-41,-69,-67,-73,-74,-67,100,-75,100,-86,100,100,100,100,-88,-74,-87,-84,-85,-83,-68,-83,-64,-58,100,-68,-67,-68,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
